"","ID..year.event.number.","What.event.did.you.attend.","Indicate.the.gender.you.identify.the.most.with.","What.is.your.sexual.orientation.","What.is.your.race...Mark.all.that.apply.","Are.you.a.Transfer.Student.","What.is.your.UCLA.affiliation.","Where.are.you.currently.living.this.school.year.","How.did.you.hear.about.this.event.or.program.","To.what.extent.do.you.agree.with.the.following.statements...By.attending.this.event..I.gained.knowledge.and.or.skills.that.will.benefit.my.overall.health.or.well.being..","To.what.extent.do.you.agree.with.the.following.statements...I.would.apply.the.knowledge.and.or.skills.I.gained.from.attending.this.event.in.my.life..","To.what.extent.do.you.agree.with.the.following.statements...I.would.attend.a.similar.event.in.the.future..","Briefly.describe.what.you.liked.or.disliked.about.this.event.","committee"
"85","21-006-009","Bruinecessities: Menstrual Hygiene Fair","Female","Pansexual","White","Yes","Undergraduate 4th Year","On campus housing (dorms, university apartment)","Saw event by chance","Strongly Agree","Strongly Agree","Strongly Agree","i loved that they provided some free period products! i hugely benefited from the information about cups that they shared and im excited to see what else they’ll be doing in the future.  ","Bruinecessities"
"86","21-006-010","Bruinecessities: Menstrual Hygiene Fair","Female","Asexual","Hispanic or Latinx","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram, From a friend","Strongly Agree","Strongly Agree","Strongly Agree","i thought the event had really good info it was just a little hard to figure out where to go first or what was going on.","Bruinecessities"
"87","21-006-011","Bruinecessities: Menstrual Hygiene Fair","Female","Bisexual","Asian","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Saw event by chance","Agree","Agree","Strongly Agree","Honestly, I was just so happy that this event existed! I think it's so important for more people to be better educated and have more access to menstrual products. The people working at the fair were extremely kind and excited to share their information, and it was a great way to engage passersby!","Bruinecessities"
"88","21-006-012","Bruinecessities: Menstrual Hygiene Fair","Female","Heterosexual/Straight","Hispanic or Latinx","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Instagram","Strongly Agree","Strongly Agree","Strongly Agree","","Bruinecessities"
"89","21-006-013","Bruinecessities: Menstrual Hygiene Fair","Female","Heterosexual/Straight","Asian","Yes","Undergraduate 3rd Year","On campus housing (dorms, university apartment)","Saw event by chance","Strongly Agree","Strongly Agree","Strongly Agree","I liked the spin the wheel!","Bruinecessities"
"90","21-006-014","Bruinecessities: Menstrual Hygiene Fair","Female","Heterosexual/Straight","Black or African American","No","Undergraduate 4th Year","Off-campus apartment","Saw event by chance","Agree","Agree","Agree","","Bruinecessities"
"124","21-011-001","Bruinecessities: Oral Hygiene Fair","Female","Heterosexual/Straight","Asian","No","UCLA Graduate Student","On campus housing (dorms, university apartment)","Email","Strongly Agree","Strongly Agree","Strongly Agree","","Bruinecessities"
"125","21-011-002","Bruinecessities: Oral Hygiene Fair","Prefer not to state","Prefer not to state","Other","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Saw event by chance","Strongly Agree","Strongly Agree","Strongly Agree","","Bruinecessities"
"126","21-011-003","Bruinecessities: Oral Hygiene Fair","Female","Bisexual","Asian","Yes","Undergraduate 3rd Year","Off-campus apartment","From a friend","Agree","Agree","Agree","","Bruinecessities"
"127","21-011-004","Bruinecessities: Oral Hygiene Fair","Female","Bisexual","Native American, White","Yes","Undergraduate 3rd Year","On campus housing (dorms, university apartment)","Saw event by chance","Strongly Agree","Strongly Agree","Strongly Agree","loved!!","Bruinecessities"
"128","21-011-005","Bruinecessities: Oral Hygiene Fair","Female","Bisexual","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Saw event by chance","Agree","Agree","Agree","","Bruinecessities"
"129","21-011-006","Bruinecessities: Oral Hygiene Fair","Female","Heterosexual/Straight","Asian","Yes","Undergraduate 3rd Year","On campus housing (dorms, university apartment)","Saw event by chance","Agree","Agree","Agree","It was fun ","Bruinecessities"
"130","21-011-007","Bruinecessities: Oral Hygiene Fair","Female","Heterosexual/Straight","Asian","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Saw event by chance","Agree","Strongly Agree","Strongly Agree","I liked that there was an interactive part with spinning the wheel to answer trivia questions. Also I liked the location of the fair because I saw it by chance!","Bruinecessities"
"131","21-011-008","Bruinecessities: Oral Hygiene Fair","Female","Heterosexual/Straight","Hispanic or Latinx","No","Undergraduate 3rd Year","On campus housing (dorms, university apartment)","Saw event by chance","Strongly Agree","Strongly Agree","Strongly Agree","I liked the prizes and how nice they were","Bruinecessities"
"132","21-011-009","Bruinecessities: Oral Hygiene Fair","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Marketing (flyers) on the Hill","Agree","Agree","Agree","","Bruinecessities"
"133","21-011-010","Bruinecessities: Oral Hygiene Fair","Male","Heterosexual/Straight","Black or African American","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Saw event by chance","Strongly Agree","Strongly Agree","Strongly Agree","i liked talking to stephanie","Bruinecessities"
"134","21-011-011","Bruinecessities: Oral Hygiene Fair","Female","Heterosexual/Straight","Asian","No","Undergraduate 4th Year","Off-campus apartment","Saw event by chance","Agree","Agree","Agree","","Bruinecessities"
"135","21-011-012","Bruinecessities: Oral Hygiene Fair","Male","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","On campus housing (dorms, university apartment)","Saw event by chance","Agree","Agree","Agree","","Bruinecessities"
"136","21-011-013","Bruinecessities: Oral Hygiene Fair","Female","Bisexual","Hispanic or Latinx","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram","Agree","Agree","Agree","","Bruinecessities"
"137","21-011-014","Bruinecessities: Oral Hygiene Fair","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Saw event by chance","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","","Bruinecessities"
"138","21-011-015","Bruinecessities: Oral Hygiene Fair","Male","Gay","Hispanic or Latinx","Yes","UCLA Graduate Student","Off-campus apartment","Saw event by chance","Agree","Agree","Agree","","Bruinecessities"
"139","21-011-016","Bruinecessities: Oral Hygiene Fair","Male","Heterosexual/Straight","White","No","UCLA Graduate Student","On campus housing (dorms, university apartment)","Saw event by chance","Agree","Agree","Agree","","Bruinecessities"
"140","21-011-017","Bruinecessities: Oral Hygiene Fair","Female","Pansexual","Asian","No","UCLA Graduate Student","Off-campus apartment","Saw event by chance","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","","Bruinecessities"
"141","21-011-018","Bruinecessities: Oral Hygiene Fair","Male","Gay","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Instagram","Agree","Agree","Agree","Free things!","Bruinecessities"
"142","21-011-019","Bruinecessities: Oral Hygiene Fair","Female","Heterosexual/Straight","Asian","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Saw event by chance","Agree","Agree","Agree","","Bruinecessities"
"143","21-011-020","Bruinecessities: Oral Hygiene Fair","Female","Heterosexual/Straight","Native American","No","Undergraduate 3rd Year","On campus housing (dorms, university apartment)","Instagram","Strongly Agree","Strongly Agree","Strongly Agree","Nice friendly space ","Bruinecessities"
"144","21-011-021","Bruinecessities: Oral Hygiene Fair","Female","Heterosexual/Straight","White","Yes","Undergraduate 3rd Year","Off-campus apartment","Saw event by chance","Strongly Disagree","Strongly Disagree","Strongly Disagree","How friendly everyone was","Bruinecessities"
"145","21-011-022","Bruinecessities: Oral Hygiene Fair","Female","Heterosexual/Straight","Hispanic or Latinx","Yes","Undergraduate 4th Year","Off-campus apartment","Saw event by chance","Strongly Agree","Strongly Agree","Strongly Agree","I liked the free dental kit","Bruinecessities"
"146","21-011-023","Bruinecessities: Oral Hygiene Fair","Female","Bisexual","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Saw event by chance","Agree","Agree","Agree","","Bruinecessities"
"147","21-011-024","Bruinecessities: Oral Hygiene Fair","Male","Heterosexual/Straight","Asian","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Facebook","Strongly Disagree","Strongly Disagree","Strongly Disagree","","Bruinecessities"
"148","21-011-025","Bruinecessities: Oral Hygiene Fair","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Saw event by chance","Agree","Agree","Agree","i like the free stuff but i don’t really like how  hidden the event was. ","Bruinecessities"
"149","21-011-026","Bruinecessities: Oral Hygiene Fair","Male","Prefer not to state","Asian","No","UCLA Graduate Student","Off-campus apartment","Saw event by chance","Strongly Agree","Strongly Agree","Strongly Agree","","Bruinecessities"
"150","21-011-027","Bruinecessities: Oral Hygiene Fair","Female","Pansexual","Asian","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Saw event by chance","Strongly Agree","Strongly Agree","Strongly Agree","I liked the location :)","Bruinecessities"
"151","21-011-028","Bruinecessities: Oral Hygiene Fair","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","From a friend","Strongly Agree","Strongly Agree","Strongly Agree","","Bruinecessities"
"152","21-011-029","Bruinecessities: Oral Hygiene Fair","Female","Asexual","Hispanic or Latinx","No","Undergraduate 2nd Year","Attending remotely within the US","Instagram","Strongly Agree","Strongly Agree","Strongly Agree","","Bruinecessities"
"153","21-011-030","Bruinecessities: Oral Hygiene Fair","Female","Bisexual","Native American, White","Yes","Undergraduate 3rd Year","On campus housing (dorms, university apartment)","Saw event by chance","Strongly Agree","Strongly Agree","Strongly Agree","It was really informative and fun! ","Bruinecessities"
"119","21-010-001","Health Nutrition and Fitness x SHEP: Unlocking the art of eating well","Non-Binary","Gay","biracial ","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","liked the variety in the panel's occupations, would have liked to not have the panelists have time limits in the answers ","Health Nutrition and Fitness"
"120","21-010-002","Health Nutrition and Fitness x SHEP: Unlocking the art of eating well","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","From a friend","Strongly Disagree","Strongly Disagree","Strongly Disagree","super fun and engaging!","Health Nutrition and Fitness"
"121","21-010-003","Health Nutrition and Fitness x SHEP: Unlocking the art of eating well","Non-Binary","Asexual","Black or African American","Yes","UCLA Graduate Student","Off-campus apartment","Instagram","Strongly Agree","Strongly Agree","Strongly Agree","","Health Nutrition and Fitness"
"122","21-010-004","Health Nutrition and Fitness x SHEP: Unlocking the art of eating well","Female","Heterosexual/Straight","Asian","No","Undergraduate 4th Year","Off-campus apartment","From a friend","Strongly Agree","Strongly Agree","Strongly Agree","","Health Nutrition and Fitness"
"123","21-010-005","Health Nutrition and Fitness x SHEP: Unlocking the art of eating well","Female","Prefer not to state","Asian, Native Hawaiian or Pacific Islander, White","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","the openness and friendliness of the panelists, and the information, ofc!!","Health Nutrition and Fitness"
"164","21-014-001","Health Nutrition and Fitness x UCLA CPR: Sidewalk Social","Female","Prefer not to state","Asian, Native Hawaiian or Pacific Islander, White","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Agree","Strongly Agree","I liked how laid back it was, and yet we still learned sidewalk CPR. I hope I never have to use it, but if I did, I'd actually feel relatively prepared. They're a super friendly group of people!","Health Nutrition and Fitness"
"163","21-001-001","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Facebook, Instagram, Twitter","Strongly Agree","Strongly Agree","Strongly Agree","I liked getting to meet people and socialize!!! ","SEARCH"
"210","21-001-002","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","It was very interactive and the people I worked with were very nice! I loved getting to know campus more as well!","SEARCH"
"310","21-001-003","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Middle Eastern","No","Undergraduate 2nd Year","Off-campus apartment","From a friend","Agree","Agree","Agree","","SEARCH"
"410","21-001-004","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","","SEARCH"
"510","21-001-005","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Hispanic or Latinx","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram","Neither Agree nor Disagree","Agree","Strongly Agree","I liked meeting new people and getting to know the campus better :) I wish the clues were related to student wellness facts ","SEARCH"
"610","21-001-006","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Neither Agree nor Disagree","Strongly Agree","loved the competitiveness !","SEARCH"
"710","21-001-007","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","I loved meeting everyone I participated in the event with and getting to know new people.","SEARCH"
"810","21-001-008","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","I liked getting to know other people. ","SEARCH"
"91","21-001-009","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","Yes","Undergraduate 4th Year","Off-campus apartment","From a friend","Agree","Neither Agree nor Disagree","Strongly Agree","It was a fun way to connect with people and explore the campus! ","SEARCH"
"1010","21-001-010","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Asian, White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","i liked the teamwork aspect!","SEARCH"
"1110","21-001-011","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","","SEARCH"
"1210","21-001-012","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Instagram","Agree","Agree","Agree","Good exercise","SEARCH"
"1310","21-001-013","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","","SEARCH"
"1410","21-001-014","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Strongly Agree","I liked the social interaction and physical activity involved in this event. I think the physical activity involved should have been emphasized more.","SEARCH"
"1510","21-001-015","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 4th Year","Off-campus apartment","From a friend","Agree","Agree","Agree","It was nice to meet people","SEARCH"
"165","21-001-016","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Really fun but disappointed we didn’t get first place :(","SEARCH"
"171","21-001-017","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 4th Year","Off-campus apartment","Instagram","Agree","Agree","Agree","","SEARCH"
"181","21-001-018","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","I’m in active minds","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","","SEARCH"
"191","21-001-019","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian, White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","I loved meeting new people! ","SEARCH"
"201","21-001-020","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Asian, White","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Strongly Agree","I liked walking around campus and meeting new people!","SEARCH"
"211","21-001-021","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Middle Eastern, White","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Disagree","Agree","Strongly Agree","It was fun overall! I wish it had been a little clearer that it was based on arrival instead of submit time, but scavenger hunts are always great. We didn’t really get a lot of social time, but we did get to chat!","SEARCH"
"221","21-001-022","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Pansexual","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Email","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","It was super fun and I liked walking around campus and talking with other students!","SEARCH"
"231","21-001-023","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Hispanic or Latinx","No","Undergraduate 4th Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","The fact that we didn’t win :(","SEARCH"
"241","21-001-024","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram, Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Disagree","Neither Agree nor Disagree","Disagree","","SEARCH"
"251","21-001-025","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Non-Binary","Bisexual","Hispanic or Latinx","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","it was really fun to walk around campus with th people i met, but it was also a lot of walking.","SEARCH"
"261","21-001-026","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Disagree","Neither Agree nor Disagree","Agree","I think the focus should’ve been more on the riddles and less on who can figure out the fastest route! Maybe more health/mental wellness/SWC related clues?","SEARCH"
"271","21-001-027","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","White","No","Undergraduate 4th Year","On campus housing (dorms, university apartment)","From a friend","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Got to help my roomates get to know the campus ","SEARCH"
"281","21-001-028","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","From a friend","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","","SEARCH"
"291","21-001-029","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","","SEARCH"
"301","21-001-030","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Asian","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","I loved the aspect of exploring campus and meeting new people.","SEARCH"
"311","21-001-031","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram, Email","Agree","Agree","Agree","It was a substitute for the orientation I couldn’t have, and I got to know new people 😀","SEARCH"
"321","21-001-032","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","SWC Search member","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","A couple people in my group already knew each other, so I felt a little left out. However, it was still nice socializing with all of them overall.","SEARCH"
"331","21-001-033","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Gay","White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Disagree","Strongly Agree","I liked that we got to travel around the campus but i feel the clues were too easy and there were opportunities for multiple correct answers.","SEARCH"
"341","21-001-034","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","","SEARCH"
"351","21-001-035","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","Yes","Undergraduate 3rd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Have an open conversation about topics that many people may not be comfortable with in most situations ","SEARCH"
"361","21-001-036","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Middle Eastern","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","I liked how it was set up and how casual it was!  ","SEARCH"
"44","21-003-001","SEARCH: Coffee Chats & Matcha Mingles","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Strongly Agree","","SEARCH"
"45","21-003-002","SEARCH: Coffee Chats & Matcha Mingles","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","So much fun talking to SEARCH members!! ","SEARCH"
"46","21-003-003","SEARCH: Coffee Chats & Matcha Mingles","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram","Agree","Agree","Agree","","SEARCH"
"47","21-003-004","SEARCH: Coffee Chats & Matcha Mingles","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Strongly Agree","","SEARCH"
"48","21-003-005","SEARCH: Coffee Chats & Matcha Mingles","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram","Strongly Agree","Strongly Agree","Strongly Agree","I liked the speed dating, it was super fun! I liked having drinks and getting to meet new people! ","SEARCH"
"49","21-003-006","SEARCH: Coffee Chats & Matcha Mingles","Female","Heterosexual/Straight","Middle Eastern","No","Undergraduate 2nd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Strongly Agree","","SEARCH"
"50","21-003-007","SEARCH: Coffee Chats & Matcha Mingles","Female","Bisexual","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Instagram","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","","SEARCH"
"51","21-003-008","SEARCH: Coffee Chats & Matcha Mingles","Female","Bisexual","Asian","No","Undergraduate 3rd Year","Off-campus","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","","SEARCH"
"52","21-003-009","SEARCH: Coffee Chats & Matcha Mingles","Female","Bisexual","Asian, White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","I liked meeting new people!","SEARCH"
"53","21-003-010","SEARCH: Coffee Chats & Matcha Mingles","Female","Heterosexual/Straight","Indian","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","","SEARCH"
"54","21-003-011","SEARCH: Coffee Chats & Matcha Mingles","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","I liked the social aspect to it and the educational purposes!","SEARCH"
"55","21-003-012","SEARCH: Coffee Chats & Matcha Mingles","Female","Heterosexual/Straight","Asian, White","No","Undergraduate 4th Year","Off-campus apartment","From a friend, Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","","SEARCH"
"56","21-003-013","SEARCH: Coffee Chats & Matcha Mingles","Female","Heterosexual/Straight","White","No","Undergraduate 2nd Year","Sorority house","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","I loved the drinks and activity!","SEARCH"
"57","21-003-014","SEARCH: Coffee Chats & Matcha Mingles","Female","Bisexual","Multiracial","No","Undergraduate 3rd Year","Off-campus apartment","SEARCH","Agree","Agree","Agree","","SEARCH"
"58","21-003-015","SEARCH: Coffee Chats & Matcha Mingles","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Neither Agree nor Disagree","Agree","I liked meeting new people and that there was coffee/matcha. ","SEARCH"
"59","21-003-016","SEARCH: Coffee Chats & Matcha Mingles","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Neither Agree nor Disagree","Agree","I liked socializing with students and learning more about their stories.","SEARCH"
"60","21-003-017","SEARCH: Coffee Chats & Matcha Mingles","Female","Heterosexual/Straight","Middle Eastern","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","","SEARCH"
"61","21-003-018","SEARCH: Coffee Chats & Matcha Mingles","Male","Heterosexual/Straight","Asian","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Neither Agree nor Disagree","Strongly Agree","","SEARCH"
"62","21-003-019","SEARCH: Coffee Chats & Matcha Mingles","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Neither Agree nor Disagree","Agree","I liked the free amenities and socializing with new people ","SEARCH"
