"","ID..year.event.number.","What.event.did.you.attend.","Indicate.the.gender.you.identify.the.most.with.","What.is.your.sexual.orientation.","What.is.your.race...Mark.all.that.apply.","Are.you.a.Transfer.Student.","What.is.your.UCLA.affiliation.","Where.are.you.currently.living.this.school.year.","How.did.you.hear.about.this.event.or.program.","To.what.extent.do.you.agree.with.the.following.statements...By.attending.this.event..I.gained.knowledge.and.or.skills.that.will.benefit.my.overall.health.or.well.being..","To.what.extent.do.you.agree.with.the.following.statements...I.would.apply.the.knowledge.and.or.skills.I.gained.from.attending.this.event.in.my.life..","To.what.extent.do.you.agree.with.the.following.statements...I.would.attend.a.similar.event.in.the.future..","Briefly.describe.what.you.liked.or.disliked.about.this.event.","committee"
"1512","21-001-015","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 4th Year","Off-campus apartment","From a friend","Agree","Agree","Agree","It was nice to meet people","HerCampus"
"169","21-001-016","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Really fun but disappointed we didn’t get first place :(","HerCampus"
"173","21-001-017","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 4th Year","Off-campus apartment","Instagram","Agree","Agree","Agree","","HerCampus"
"183","21-001-018","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","I’m in active minds","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","","HerCampus"
"193","21-001-019","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian, White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","I loved meeting new people! ","HerCampus"
"203","21-001-020","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Asian, White","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Strongly Agree","I liked walking around campus and meeting new people!","HerCampus"
"215","21-001-021","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Middle Eastern, White","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Disagree","Agree","Strongly Agree","It was fun overall! I wish it had been a little clearer that it was based on arrival instead of submit time, but scavenger hunts are always great. We didn’t really get a lot of social time, but we did get to chat!","HerCampus"
"223","21-001-022","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Pansexual","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Email","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","It was super fun and I liked walking around campus and talking with other students!","HerCampus"
"233","21-001-023","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Hispanic or Latinx","No","Undergraduate 4th Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","The fact that we didn’t win :(","HerCampus"
"243","21-001-024","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram, Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Disagree","Neither Agree nor Disagree","Disagree","","HerCampus"
